people,animals,vehicles,density,people_close,animals_close,motion,environment,confidence
2,0,0,low,False,False,none,indoor/social,0.93
2,0,0,low,False,False,none,indoor/social,0.93
2,0,0,low,False,False,none,indoor/social,0.93
7,0,0,high,False,False,none,indoor/social,0.89
7,0,0,high,False,False,none,indoor/social,0.89
3,0,0,medium,False,False,approaching,indoor/social,0.92
0,0,0,low,False,False,none,open/nature,0.9
0,0,0,low,False,False,none,open/nature,0.0
0,0,0,low,False,False,none,open/nature,0.91
2,0,0,low,False,False,none,indoor/social,0.92
3,0,0,medium,True,False,none,indoor/social,0.86
4,0,0,medium,True,False,none,indoor/social,0.89
7,0,0,high,False,False,none,indoor/social,0.89
7,0,0,high,False,False,none,indoor/social,0.89
3,0,0,medium,False,False,approaching,indoor/social,0.92
0,3,0,medium,False,True,none,open/nature,0.9
0,3,0,medium,False,True,none,open/nature,0.87
0,3,0,medium,False,True,none,open/nature,0.92
1,1,0,low,False,False,none,indoor/social,0.95
1,1,0,low,False,False,none,indoor/social,0.94
1,1,0,low,False,False,none,indoor/social,0.95
5,0,0,medium,True,False,none,indoor/social,0.89
5,0,0,medium,True,False,none,indoor/social,0.9
4,0,0,medium,True,False,none,indoor/social,0.87
2,0,2,medium,True,False,none,urban,0.86
2,0,1,medium,False,False,none,urban,0.86
2,0,1,medium,False,False,none,urban,0.89
3,0,0,medium,True,False,none,indoor/social,0.84
3,0,0,medium,True,False,none,indoor/social,0.89
2,0,0,low,True,False,none,indoor/social,0.92
3,0,0,medium,False,False,none,indoor/social,0.8
4,0,0,medium,True,False,approaching,indoor/social,0.81
3,0,0,medium,True,False,none,indoor/social,0.84
3,0,0,medium,False,False,none,indoor/social,0.8
4,0,0,medium,True,False,approaching,indoor/social,0.81
3,0,0,medium,True,False,none,indoor/social,0.84
3,0,0,medium,False,False,none,indoor/social,0.8
4,0,0,medium,True,False,approaching,indoor/social,0.81
3,0,0,medium,True,False,none,indoor/social,0.84
3,0,0,medium,False,False,none,indoor/social,0.8
4,0,0,medium,True,False,approaching,indoor/social,0.81
3,0,0,medium,True,False,none,indoor/social,0.84
0,0,0,low,False,False,none,open/nature,0
0,0,0,low,False,False,none,open/nature,0
0,0,0,low,False,False,none,open/nature,0
3,0,0,medium,False,False,none,indoor/social,0.91
3,0,0,medium,False,False,none,indoor/social,0.92
3,0,0,medium,False,False,none,indoor/social,0.93
3,0,0,medium,True,False,none,indoor/social,0.84
3,0,0,medium,True,False,none,indoor/social,0.89
2,0,0,low,True,False,none,indoor/social,0.92
4,0,0,medium,True,False,none,indoor/social,0.85
4,0,0,medium,True,False,none,indoor/social,0.84
4,0,0,medium,True,False,none,indoor/social,0.84
0,3,0,medium,False,True,none,open/nature,0.9
0,3,0,medium,False,True,none,open/nature,0.87
0,3,0,medium,False,True,none,open/nature,0.92
0,2,0,low,False,False,none,open/nature,0.91
0,2,0,low,False,False,none,open/nature,0.85
0,1,0,low,False,False,none,open/nature,0.94
